Altium Designer Pick and Place Locations
C:\Users\feren\AppData\Local\TempReleases\Snapshot\7\Assembly NTSC System\Pick Place for SNES TST(NTSC System).txt

========================================================================================================================
File Design Information:

Date:       15/10/21
Time:       22:22
Revision:   Not in VersionControl
Variant:    NTSC System
Units used: mm

Designator Comment            Layer       Footprint        Rotation Description                Ref-X(mm) Ref-Y(mm) 
C1         100nF              TopLayer    Cap_0402_Chip    270      ""                         8.6750    6.6250    
C2         100nF              TopLayer    Cap_0402_Chip    270      ""                         33.5000   5.5000    
C3         100nF              TopLayer    Cap_0402_Chip    0        ""                         30.6750   28.3500   
C4         100nF              TopLayer    Cap_0402_Chip    180      ""                         12.1000   28.3250   
C5         100nF              TopLayer    Cap_0402_Chip    90       ""                         32.3250   28.1750   
C6         100nF              TopLayer    Cap_0402_Chip    0        ""                         21.1750   28.3000   
C7         10pF               BottomLayer Cap_0402_Chip    90       ""                         22.4000   10.1250   
C8         10pF               BottomLayer Cap_0402_Chip    90       ""                         24.9500   10.1250   
C9         10pF               BottomLayer Cap_0402_Chip    180      ""                         20.5750   18.6250   
C10        10pF               BottomLayer Cap_0402_Chip    180      ""                         23.1250   18.6000   
C11        100nF              TopLayer    Cap_0402_Chip    90       ""                         8.6750    8.7250    
C12        100nF              TopLayer    Cap_0402_Chip    90       ""                         33.2250   28.1750   
C13        100nF              BottomLayer Cap_0402_Chip    180      ""                         29.4500   17.3000   
C14        100nF              BottomLayer Cap_0402_Chip    0        ""                         29.0500   8.1500    
C15        100nF              TopLayer    Cap_0402_Chip    90       ""                         1.1000    11.1750   
C16        100nF              BottomLayer Cap_0402_Chip    90       ""                         25.7000   20.3500   
C17        100nF              BottomLayer Cap_0402_Chip    180      ""                         52.6250   17.3250   
C18        100nF              BottomLayer Cap_0402_Chip    270      ""                         38.2500   8.1750    
C19        100nF              TopLayer    Cap_0402_Chip    0        ""                         60.4750   24.7750   
C20        100nF              TopLayer    Cap_0402_Chip    180      ""                         53.7500   32.4000   
C21        100nF              BottomLayer Cap_0402_Chip    270      ""                         36.1500   15.6750   
C22        100nF              BottomLayer Cap_0402_Chip    90       ""                         36.1500   22.0750   
C23        100nF              BottomLayer Cap_0402_Chip    270      ""                         18.5500   7.3250    
C24        100nF              BottomLayer Cap_0402_Chip    0        ""                         51.3250   14.0750   
C25        100nF              TopLayer    Cap_0402_Chip    0        ""                         41.8250   34.0500   
C26        100nF              TopLayer    Cap_0402_Chip    90       ""                         33.7750   39.8000   
C27        100nF              TopLayer    Cap_0402_Chip    180      ""                         41.9750   38.5250   
C28        100nF              TopLayer    Cap_0402_Chip    0        ""                         19.3000   30.0500   
C29        100nF              TopLayer    Cap_0402_Chip    0        ""                         19.3000   30.9250   
C30        100nF              TopLayer    Cap_0402_Chip    270      ""                         30.1750   38.8000   
C31        10nF               TopLayer    Cap_0402_Chip    270      ""                         31.0750   38.8000   
C32        100nF              TopLayer    Cap_0402_Chip    0        ""                         19.4000   39.5250   
C33        10nF               TopLayer    Cap_0402_Chip    0        ""                         19.4000   38.6000   
C34        10nF               TopLayer    Cap_0402_Chip    180      ""                         11.3500   40.1750   
